id,value
Basic Industries|Steel/Iron Ore|STLD(8.352B),8.352B
Basic Industries|Steel/Iron Ore|SXC(0.497B),0.497B
Basic Industries|Steel/Iron Ore|SYNL(0.077B),0.077B
Basic Industries|Steel/Iron Ore|TMST(0.254B),0.254B
Basic Industries|Steel/Iron Ore|TS(10.182B),10.182B
Basic Industries|Steel/Iron Ore|TWI(0.449B),0.449B
Basic Industries|Steel/Iron Ore|TX(5.713B),5.713B
Basic Industries|Steel/Iron Ore|USAP(0.088B),0.088B
Basic Industries|Steel/Iron Ore|X(4.462B),4.462B
Basic Industries|Telecommunications Equipment|APWC(0.089B),0.089B
Basic Industries|Telecommunications Equipment|BDC(1.993B),1.993B
Basic Industries|Telecommunications Equipment|GLW(28.860B),28.860B
Basic Industries|Telecommunications Equipment|OCC(0.030B),0.030B
Basic Industries|Textiles|AIN(2.603B),2.603B
Basic Industries|Textiles|CRWS(0.076B),0.076B
Basic Industries|Textiles|CULP(0.204B),0.204B
Basic Industries|Water Supply|AEGN(0.800B),0.800B
Basic Industries|Water Supply|DY(2.527B),2.527B
Basic Industries|Water Supply|MTZ(6.186B),6.186B
Basic Industries|Water Supply|MYRG(0.956B),0.956B
Basic Industries|Water Supply|PLPC(0.328B),0.328B
Basic Industries|Water Supply|PRIM(1.512B),1.512B
Capital Goods|Aerospace|AIR(1.364B),1.364B
Capital Goods|Aerospace|AVAV(2.976B),2.976B
Capital Goods|Aerospace|BA(121.543B),121.543B
Capital Goods|Aerospace|ERJ(1.539B),1.539B
Capital Goods|Aerospace|HEI(17.323B),17.323B
Capital Goods|Aerospace|HON(141.548B),141.548B
Capital Goods|Aerospace|RTX(110.740B),110.740B
Capital Goods|Aerospace|SIF(0.053B),0.053B
Capital Goods|Aerospace|TATT(0.056B),0.056B
Capital Goods|Aerospace|TGI(0.759B),0.759B
Capital Goods|Aerospace|TXT(11.222B),11.222B
Capital Goods|Aerospace|UAVS(0.527B),0.527B
Capital Goods|Auto Manufacturing|ACTC(0.831B),0.831B
Capital Goods|Auto Manufacturing|ACTCU(0.000B),0.000B
Capital Goods|Auto Manufacturing|ACTCW(0.000B),0.000B
Capital Goods|Auto Manufacturing|F(45.476B),45.476B
Capital Goods|Auto Manufacturing|FSR(5.027B),5.027B
Capital Goods|Auto Manufacturing|FSS(2.131B),2.131B
Capital Goods|Auto Manufacturing|GIK(0.383B),0.383B
Capital Goods|Auto Manufacturing|GM(75.158B),75.158B
Capital Goods|Auto Manufacturing|HMC(49.554B),49.554B
Capital Goods|Auto Manufacturing|IDEX(1.386B),1.386B
Capital Goods|Auto Manufacturing|KNDI(0.587B),0.587B
Capital Goods|Auto Manufacturing|LI(26.425B),26.425B
Capital Goods|Auto Manufacturing|NAV(4.391B),4.391B
Capital Goods|Auto Manufacturing|NAV^D(nan),
Capital Goods|Auto Manufacturing|NIO(84.851B),84.851B
Capital Goods|Auto Manufacturing|NIU(3.265B),3.265B
Capital Goods|Auto Manufacturing|NKLA(7.820B),7.820B
Capital Goods|Auto Manufacturing|OSK(6.633B),6.633B
Capital Goods|Auto Manufacturing|PCAR(32.875B),32.875B
Capital Goods|Auto Manufacturing|PSAC(0.507B),0.507B
Capital Goods|Auto Manufacturing|PSACU(0.000B),0.000B
Capital Goods|Auto Manufacturing|PSACW(0.000B),0.000B
Capital Goods|Auto Manufacturing|RACE(49.483B),49.483B
Capital Goods|Auto Manufacturing|REVG(0.749B),0.749B
Capital Goods|Auto Manufacturing|RIDE(4.049B),4.049B
Capital Goods|Auto Manufacturing|SHYF(1.142B),1.142B
Capital Goods|Auto Manufacturing|SOLO(0.467B),0.467B
Capital Goods|Auto Manufacturing|SOLOW(0.000B),0.000B
Capital Goods|Auto Manufacturing|TM(214.520B),214.520B
Capital Goods|Auto Manufacturing|TSLA(755.769B),755.769B
Capital Goods|Auto Manufacturing|TTM(16.747B),16.747B
Capital Goods|Auto Manufacturing|WKHS(3.763B),3.763B
Capital Goods|Auto Manufacturing|XPEV(29.347B),29.347B
Capital Goods|Auto Parts:O.E.M.|ADNT(3.329B),3.329B
Capital Goods|Auto Parts:O.E.M.|ALSN(4.336B),4.336B
Capital Goods|Auto Parts:O.E.M.|ALV(7.873B),7.873B
Capital Goods|Auto Parts:O.E.M.|APOG(0.955B),0.955B
Capital Goods|Auto Parts:O.E.M.|APTV(40.328B),40.328B
Capital Goods|Auto Parts:O.E.M.|AXL(1.024B),1.024B
Capital Goods|Auto Parts:O.E.M.|BWA(10.529B),10.529B
Capital Goods|Auto Parts:O.E.M.|CAAS(0.206B),0.206B
Capital Goods|Auto Parts:O.E.M.|CPS(0.552B),0.552B
Capital Goods|Auto Parts:O.E.M.|CVGI(0.279B),0.279B
Capital Goods|Auto Parts:O.E.M.|DAN(3.033B),3.033B
Capital Goods|Auto Parts:O.E.M.|DORM(2.989B),2.989B
Capital Goods|Auto Parts:O.E.M.|GNTX(8.552B),8.552B
Capital Goods|Auto Parts:O.E.M.|GOEV(3.700B),3.700B
Capital Goods|Auto Parts:O.E.M.|GOEVW(0.000B),0.000B
Capital Goods|Auto Parts:O.E.M.|HZN(0.256B),0.256B
Capital Goods|Auto Parts:O.E.M.|IEP(15.162B),15.162B
Capital Goods|Auto Parts:O.E.M.|IPV(0.538B),0.538B
Capital Goods|Auto Parts:O.E.M.|LAZR(10.638B),10.638B
Capital Goods|Auto Parts:O.E.M.|LAZRW(0.000B),0.000B
Capital Goods|Auto Parts:O.E.M.|LCII(3.597B),3.597B
Capital Goods|Auto Parts:O.E.M.|LDL(0.571B),0.571B
Capital Goods|Auto Parts:O.E.M.|LEA(9.723B),9.723B
Capital Goods|Auto Parts:O.E.M.|MGA(22.579B),22.579B
Capital Goods|Auto Parts:O.E.M.|MOD(0.698B),0.698B
Capital Goods|Auto Parts:O.E.M.|MPAA(0.380B),0.380B
Capital Goods|Auto Parts:O.E.M.|MTOR(2.192B),2.192B
Capital Goods|Auto Parts:O.E.M.|PATK(1.879B),1.879B
Capital Goods|Auto Parts:O.E.M.|RMO(1.814B),1.814B
Capital Goods|Auto Parts:O.E.M.|SMP(0.912B),0.912B
Capital Goods|Auto Parts:O.E.M.|SRI(0.784B),0.784B
Capital Goods|Auto Parts:O.E.M.|STRT(0.221B),0.221B
Capital Goods|Auto Parts:O.E.M.|SUP(0.154B),0.154B
Capital Goods|Auto Parts:O.E.M.|TEN(0.811B),0.811B
Capital Goods|Auto Parts:O.E.M.|THRM(2.272B),2.272B
Capital Goods|Auto Parts:O.E.M.|TT(35.645B),35.645B
Capital Goods|Auto Parts:O.E.M.|UFAB(0.071B),0.071B
Capital Goods|Auto Parts:O.E.M.|VC(3.416B),3.416B
Capital Goods|Auto Parts:O.E.M.|VNE(3.062B),3.062B
Capital Goods|Auto Parts:O.E.M.|XL(2.378B),2.378B
Capital Goods|Automotive Aftermarket|GPC(14.585B),14.585B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|A(38.992B),38.992B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|ASTC(0.057B),0.057B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|AVTR(16.698B),16.698B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|AXDX(0.745B),0.745B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|BIO(19.443B),19.443B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|BLI(4.700B),4.700B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|BNGO(3.485B),3.485B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|BNGOW(0.000B),0.000B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|BRKR(9.546B),9.546B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|COHR(6.173B),6.173B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|EYPT(0.388B),0.388B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|FLDM(0.476B),0.476B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|HBIO(0.177B),0.177B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|HTGM(0.034B),0.034B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|ILMN(70.925B),70.925B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|MTD(26.931B),26.931B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|PACB(8.253B),8.253B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|PKI(15.968B),15.968B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|PRPO(0.055B),0.055B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|QTRX(2.786B),2.786B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|SEER(3.755B),3.755B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|TLIS(0.575B),0.575B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|TXG(20.055B),20.055B
Capital Goods|Biotechnology: Laboratory Analytical Instruments|WAT(17.423B),17.423B
Capital Goods|Building Materials|AEHL(0.012B),0.012B
Capital Goods|Building Materials|CPAC(0.712B),0.712B
Capital Goods|Building Materials|CPSH(0.304B),0.304B
Capital Goods|Building Materials|CRH(34.095B),34.095B
Capital Goods|Building Materials|CSTE(0.457B),0.457B
Capital Goods|Building Materials|CX(9.246B),9.246B
Capital Goods|Building Materials|EXP(5.096B),5.096B
